Название,Тип заведения,Средний чек,Адресс
ТАГАМ,сеть столовых,Доставка,"Толе би, 184а"
SADU,ресторан,Средний чек 7000 тнг,"ЖК Меркур Тауэрс, микрорайон Самал-3, 25"
SALAM BRO,сеть кафе и киосков быстрого питания,Средний чек 1000 тнг,"8-й микрорайон, 1а"
Mamma mia & Ciao Pizza,сеть пиццерий,Средний чек 5000 тнг,"микрорайон Алмагуль, 18а"
Del Mar,рыбный ресторан,Средний чек 25000 тнг,"МФК VILLA, проспект Аль-Фараби, 140а/3"
La Tartine,сеть французских пекарен,Средний чек 5000 тнг,"Кабанбай батыра, 89"
SALAM BRO,сеть кафе и киосков быстрого питания,,"проспект Жибек Жолы, 106"
6inch,кафе быстрого питания,Средний чек 1250 тнг,"ТРЦ PROMENADE, проспект Абая, 44а"
Do Re Mi,Караоке-залы,Средний чек 2000 тнг,"Муканова, 130"
Mostar Mangal,ресторан,Средний чек 4000 тнг,"БЦ SAT, Манаса, 32а"
Lanzhou,сеть ресторанов быстрого питания,Средний чек 1000 тнг,"ЖК Royal, Кажымукана, 49"
KOREAN HOUSE,ресторан корейской кухни,Средний чек 5000 тнг,"ТРЦ Mega Center Alma-Ata, Розыбакиева, 263"
Большая кухня,кафе,Средний чек 4000 тнг,"проспект Гагарина, 208а"
Restaurant & club Bellagio,ресторанный комплекс,Средний чек 20000 тнг,"Керей-Жәнібек хандар, 197"
IL PONTE,итальянский ресторан,Средний чек 7000 тнг,"ТРЦ DOSTYK PLAZA, микрорайон Самал-2, 111"
Киш Миш Чайхана,ресторан доступной кухни,Средний чек 1200 тнг,"микрорайон Мамыр 4, 188Б"
Арагви,кафе,Средний чек 5000 тнг,"проспект Райымбека, 309"
La Barca Fish & Wine,ресторан,Средний чек 8000 тнг,"проспект Абылай хана, 145"
Bahandi burger,сеть кафе быстрого питания,,"Ауэзова, 140"
Bahandi burger,сеть кафе быстрого питания,,"Масанчи, 96"
GLORIA JEAN`S COFFEES,сеть кофеен,Средний чек 2000 тнг,"проспект Абылай хана, 113"
Harat`s Irish Pub,ирландский паб,Средний чек 5000 тнг,"Панфилова, 110"
KFC,предприятие быстрого обслуживания,Средний чек 1230 тнг,"ТРЦ DOMILLION, проспект Рыскулова, 143в"
#FARШ,кафе быстрого питания,Доставка,"ТРЦ Mega Center Alma-Ata, Розыбакиева, 247а"
Гараж,чайхана,Средний чек 2500 тнг,"Мельникайте, 30"
Fellini,ресторан итальянской кухни,Средний чек 10000 тнг,"ТЦ ESENTAI MALL, проспект Аль-Фараби, 77/8"
Gippo,сеть павильонов и кафе быстрого питания,Средний чек 700 тнг,"проспект Абая, 91 киоск"
Пивоварофф,пивной ресторан,Средний чек 7000 тнг,"Шевченко, 71"
Qulpynai Bakery,сеть пекарен-кондитерских,Средний чек 800 тнг,"Саяна Шаймерденова, 29"
Пловхана,кафе,Средний чек 2000 тнг,"Байтурсынова, 43"
Кым-Ган-Сан,сеть кафе корейской кухни,Средний чек 3000 тнг,"Брусиловского, 199"
Shymbulak Mountain Resort,горный курорт,Средний чек 5000 тнг,"Керей-Жәнібек хандар, 640/1"
SHELK,караоке-бар,Средний чек 3500 тнг,"БЦ САТ, Кунаева, 21Б"
Bahandi burger,сеть кафе быстрого питания,,"Розыбакиева, 136/1"
Хан Сарай,ресторан,Средний чек 5000 тнг,"Толе би, 128"
Шашлычный двор,кафе,Средний чек 3000 тнг,"проспект Абая, 198а"
Qaganat,сеть столовых,Бизнес-ланч · Доставка,"проспект Райымбека, 152"
МансАрда,кафе,Средний чек 3000 тнг,"Шокая, 37"
Gaucho,ресторан,Средний чек 7000 тнг,"Кабанбай батыра, 83"
Маленький принц,семейное кафе,Средний чек 5000 тнг,"Толе би, 265"
McDonald`s,сеть ресторанов быстрого обслуживания,Средний чек 1500 тнг,"ТРЦ Mega Center Alma-Ata, Розыбакиева, 247а"
Starbucks,сеть кофеен,,"ТРЦ Mega Center Alma-Ata, Розыбакиева, 263"
Esmeralda,кафе,Средний чек 3000 тнг,"Розыбакиева, 137"
BarFly,ресторан,Средний чек 13000 тнг,"Гостиница Казахстан, проспект Достык, 52/2"
Трактиръ Медведь,ресторан,Средний чек 5000 тнг,"Щепеткова, 137"
Tomato,сеть пицца-баров,Средний чек 5000 тнг,"Толе би, 130а"
ШашлыкоFF Grill & Bar,гриль-бар,Средний чек 3500 тнг,"проспект Достык, 36"
DATO,кафе,Средний чек 3000 тнг,"Богенбай батыра, 74"
Uno Dos Tacos,сеть ресторанов быстрого питания,,"Панфилова, 114"
GG MIX House,ресторан,Средний чек 3000 тнг,"Искендерова, 58"
Oke Poke,кафе,Средний чек 3000 тнг,"проспект Назарбаева, 130"
Qaganat,сеть столовых,Бизнес-ланч · Доставка,"12-й микрорайон, 25а"
Starbucks,сеть кофеен,Средний чек 2500 тнг,"Globus, проспект Абая, 109в"
Dop domalaq,ресторан,Средний чек 5000 тнг,"Жандосова, 12"
SALAM BRO,сеть кафе и киосков быстрого питания,Средний чек 1000 тнг,"Тимирязева, 42 к4"
Love Sochi,кафе,Средний чек 4000 тнг,"Каирбекова, 6"
6inch,кафе быстрого питания,Средний чек 2000 тнг,"микрорайон Самал-3, 1а киоск"
McDonald`s,сеть ресторанов быстрого обслуживания,Средний чек 1500 тнг,"проспект Райымбека, 239/4"
Halal Bite,кафе быстрого питания,Средний чек 700 тнг,"Гоголя, 56"
Додо Пицца,сеть пиццерий,Средний чек 2000 тнг,"АТУ, Толе би, 100"
"ARAILYM & CO, сеть ресторанов и банкетных залов",Lounge bar MONROE,Средний чек 5000 тнг,"Толе би, 19"
Atea,бар,Средний чек 1300 тнг,"проспект Абылай хана, 117"
Starbucks,сеть кофеен,Средний чек 2200 тнг,"проспект Достык, 104/1"
Marrone Rosso,сеть кофеен,Средний чек 3000 тнг,"проспект Абая, 42"
Мастер Doner,кафе быстрого питания,Средний чек 700 тнг,"Толе би, 64"
"McDonald`s, сеть ресторанов быстрого обслуживания",McDrive,Средний чек 1500 тнг,"Орбита 3-й микрорайон, 5а"
Чиль-Сон,кафе,Средний чек 3000 тнг,"Болтирик Шешен, 7"
Narsharab,ресторан,Средний чек 6000 тнг,"проспект Достык, 63"
Borgo Antico,итальянский ресторан,Средний чек 10000 тнг,"Искендерова, 11/6"
Burger King,сеть кафе быстрого питания,Средний чек 1700 тнг,"Толе би, 136/1"
Шишка Edition,бар,Средний чек 5000 тнг,"ЖК Royal, Кажымукана, 49"
Тамада,кафе,Средний чек 5000 тнг,"проспект Гагарина, 6"
Matador,стейк-хаус,Средний чек 6000 тнг,"Богенбай батыра, 123"
Той Дәмі,сеть кулинарий,Средний чек 600 тнг,"Гоголя, 129"
Victory Mexican and Wild,бар,Средний чек 5000 тнг,"Богенбай батыра, 79"
Сухур,столовая,Средний чек 1200 тнг,"Тургут Озала, 134"
Сауле,кафе,Средний чек 4000 тнг,"проспект Дулати, 65"
Место встречи,кафе,Средний чек 3500 тнг,"Жансугурова, 271"
ТАГАМ,сеть столовых,Доставка,"4-й микрорайон, 4/1"
Munchen,ресторанный комплекс,Средний чек 5000 тнг,"проспект Сейфуллина, 526"
ТАГАМ,сеть столовых,Бизнес-ланч · Доставка,"БЦ Success, Жандосова, 1/1"
ПерекуCity,кафе быстрого питания,,"Шевченко, 99"
BREWMEISTER Esports Pub,Бары,Средний чек 5000 тнг,"Толе би, 50-54"
"Capriccio, Italian Cuisine",ресторан,Средний чек 7000 тнг,"проспект Абылай хана, 145"
Qaganat,сеть столовых,Бизнес-ланч · Доставка,"Толе би, 296а"
Baursak city,кафе,Средний чек 4000 тнг,"Муратбаева, 138"
Версаль,ресторан,Средний чек 5000 тнг,"Тимирязева, 32в"
Ас-Қазан,сеть лагман-центров,Средний чек 1500 тнг,"Гоголя, 13"
Qaganat,сеть столовых,Средний чек 500 тнг,"проспект Достык, 108"
OZYURT,ресторан быстрого питания,,"микрорайон Аксай 5, 25"
Art house bar,лаундж-бар,Средний чек 4500 тнг,"проспект Абая, 150"
BAO Sushi & Noodles Bar,сеть ресторанов,Средний чек 3000 тнг,"ТРЦ MOSKVA Metropolitan, 8-й микрорайон, 37/1"
Пещера,халал-кафе,Средний чек 2000 тнг,"Макатаева, 49/1"
Ас-Қазан,сеть лагман-центров,Средний чек 1500 тнг,"Жандосова, 186Б"
Bahandi burger,сеть кафе быстрого питания,,"проспект Гагарина, 41"
McDrive,сеть автокафе,Средний чек 1500 тнг,"Толе би, 41"
Auz.T,сеть кафе быстрого питания,Доставка,"Розыбакиева, 136/1"
New Bisquit,кофейня,Средний чек 5000 тнг,"Шевченко, 18"
Грузинский двор,кафе,,"Розыбакиева, 287"
Qaganat,сеть столовых,Бизнес-ланч · Доставка,"7-й микрорайон, 2а"
KUNJUT,кафе,Средний чек 3000 тнг,"Макатаева, 126"
1GOG,ресто-бар,Средний чек 4500 тнг,"Ауэзова, 8"
Alberto Bar,кафе,Средний чек 3000 тнг,"Гоголя, 144"
Bahandi burger,сеть кафе быстрого питания,,"Жумалиева, 79"
JAI Ho,кафе быстрого вегетарианского питания,Средний чек 1200 тнг,"ТРЦ PROMENADE, проспект Абая, 44а"
DIJON,ресторан,,"МФК VILLA, проспект Аль-Фараби, 140а/2"
Dastarkhan Food,бистро,Средний чек 1700 тнг,"Наурызбай батыра, 122-124"
Мимино,ресторан,Средний чек 3500 тнг,"Жукова, 122"
Caffe del Teatro,ресторан,Средний чек 10000 тнг,"Жамбыла, 51а"
Chef Gourmet,ресторан,Бизнес-ланч · Доставка,"Барибаева, 14"
Fresco cafe,городское кафе,Средний чек 4000 тнг,"проспект Абылай хана, 113"
MAJLIS,кафе,,"Жамакаева, 95"
Аннён,кафе,Средний чек 3000 тнг,"Розыбакиева, 1"
Bahandi burger,сеть кафе быстрого питания,Доставка,"микрорайон Самал-3, 2а киоск"
Qaganat,сеть столовых,Бизнес-ланч · Доставка,"Толе би, 264а"
Burger King,сеть кафе быстрого питания,Средний чек 1700 тнг,"проспект Абая, 89"
БОЧОНОК,сеть пивных ресторанов,Средний чек 6000 тнг,"проспект Назарбаева, 193"
Элит,кафе,Средний чек 3000 тнг,"9-й микрорайон, 35Б"
Coffeedelia,сеть кофеен,Средний чек 2800 тнг,"Желтоксан, 117"
Utepia,чайный дом,Средний чек 1200 тнг,"Гоголя, 77"
Bowler Coffee Roasters,сеть кофеен,Средний чек 1700 тнг,"Кабанбай батыра, 65"
Qaganat,сеть столовых,Бизнес-ланч · Доставка,"проспект Суюнбая, 2 к2"
FLASK COFFEE,кофейня,Средний чек 900 тнг,"Барибаева, 36"
Auz.T,сеть кафе быстрого питания,Доставка,"проспект Абая, 50Б"
Qulpynai Bakery,сеть пекарен-кондитерских,Средний чек 800 тнг,"микрорайон Аксай 5, 25"
MIX,ресторан-паб,Средний чек 8000 тнг,"Жамбыла, 75"
Gippo,сеть павильонов и кафе быстрого питания,Средний чек 700 тнг,"Пушкина, 1 киоск"
Акунин,ресторан японской кухни,Средний чек 8000 тнг,"проспект Абая, 21"
BigChefs,ресто-бар,Средний чек 5000 тнг,"ТРЦ DOSTYK PLAZA, микрорайон Самал-2, 111"
Еда у кота,служба доставки готовых блюд,,"Розыбакиева, 127"
Bloom Ville,центр семейного отдыха,Средний чек 5500 тнг,"Тимирязева, 42/10"
Bahandi burger,сеть кафе быстрого питания,,"Радостовца, 292 киоск"
ТАУ-Дастархан,гостинично-ресторанный комплекс,Средний чек 5000 тнг,"Алма-Арасан Ущелье, 1/3"
Woodman grill & bar,Бары,Средний чек 10000 тнг,"Розыбакиева, 272"
Авторская пекарня Маржан Отеген,Пекарни,,"проспект Сейфуллина, 452"
Qaganat,сеть столовых,Бизнес-ланч · Доставка,"Ньютона, 1"
Halal Bite,кафе быстрого питания,,"Розыбакиева, 136/1"
Jumpin Goat Coffee,кофейня,,"проспект Абая, 35/37"
Korean street food,сеть кафе быстрого питания,Средний чек 1000 тнг,"Чайковского, 22"
Starbucks,сеть кофеен,,"Пушкина, 118/16"
Алма,гостиничный комплекс,Средний чек 4000 тнг,"Кошкунова, 4а"
Кафе Плюс,кафе,Средний чек 700 тнг,"Ауэзова, 175"
SALAM BRO,сеть кафе и киосков быстрого питания,Средний чек 1000 тнг,"Туркебаева, 86"
Tokyo Ramen Izakaya Bar,ресторан,Средний чек 3500 тнг,"Панфилова, 114"
Coffee Milka,кофейня,,"Байтурсынова, 141"
Шалахо,кафе,Средний чек 4500 тнг,"Акан Серы, 65"
SunRoof,ресторан,Средний чек 6000 тнг,"микрорайон Самал-3, 1"
Uskudar,столовая,Средний чек 2000 тнг,"Макатаева, 158"
SALAM BRO,сеть кафе и киосков быстрого питания,,"проспект Жибек Жолы, 111/1 киоск"
SALAM BRO,сеть кафе и киосков быстрого питания,Средний чек 1000 тнг,"проспект Алтынсарина, 26"
Bahandi burger,сеть кафе быстрого питания,,"микрорайон Коктем-2, 22 киоск"
Пинта,сеть пивных ресторанов,Средний чек 5000 тнг,"ТРК ADK, Сатпаева, 90"
Pate & Pizza,кафе,Средний чек 3000 тнг,"ЖК GAGARIN PARK, проспект Гагарина, 287/1"
Bahandi burger,сеть кафе быстрого питания,Доставка,"Мустафина, 5Б/1"
Galito`s,международная сеть ресторанов,Средний чек 4000 тнг,"Панфилова, 100"
Rotana Grill Lounge,ресторан,Средний чек 5000 тнг,"БЦ Senim Capital, проспект Сейфуллина, 410"
SALAM BRO,сеть кафе и киосков быстрого питания,Средний чек 1000 тнг,"Толе би, 285/3 киоск"
Hong Kong Soy,кафе,Средний чек 1200 тнг,"Кабанбай батыра, 140"
KFC,предприятие быстрого обслуживания,Средний чек 1230 тнг,"Жансугурова, 273/2"
MANGA SUSHI,сеть суши-баров,Средний чек 3000 тнг,"МФК RAMSTORE ALL IN, проспект Назарбаева, 226"
Papa John`s,сеть пиццерий,Доставка,"микрорайон Орбита 1, 6"
Лепим и варим,пельменная,Средний чек 3500 тнг,"Панфилова, 114"
Терраса,шашлычная,Средний чек 3500 тнг,"1-я улица, 13"
Bahandi burger,сеть кафе быстрого питания,,"Сатпаева, 90/22 киоск"
ТАГАМ,сеть столовых,Доставка,"Орбита 3-й микрорайон, 1"
Starbucks,сеть кофеен,,"БЦ Park View, Кунаева, 77"
ЛенКонцерт,бар,Средний чек 6000 тнг,"Зенкова, 24"
Nakatika,комплекс,Средний чек 4000 тнг,"Коммунальная, 12"
Bekbota et,сеть магазинов мясной продукции,Средний чек 2700 тнг,"микрорайон Таугуль-2, 4а"
Starbucks,сеть кофеен,Средний чек 2000 тнг,"ТРЦ MOSKVA Metropolitan, 8-й микрорайон, 37/1"
UMAMI,кофейня-джелатерия,Доставка,"Байсеитовой, 3"
Шашлычный двор,кафе,Средний чек 800 тнг,"Толе би, 278"
Paul,сеть ресторанов,Средний чек 3500 тнг,"ТРЦ Mega Center Alma-Ata, Розыбакиева, 263"
Пещера,халал-кафе,Средний чек 1000 тнг,"Толе би, 262"
McDonald`s,сеть ресторанов быстрого обслуживания,Средний чек 1500 тнг,"ТРК MEGA Park, Макатаева, 127/1"
Hot dog club,кафе быстрого питания,Средний чек 1500 тнг,"Курмангазы, 33"
Master bliny,кафе быстрого питания,Средний чек 2000 тнг,"Ауэзова, 183"
Эмиль,кафе,Средний чек 2500 тнг,"Дуйсенова, 33"
SAMURAI SUSHI,сеть ресторанов,Средний чек 5000 тнг,"Шолохова, 13"
ComeIn,гриль-бар,Средний чек 3000 тнг,"Богенбай батыра, 104"
Лес,кафе-бар,Средний чек 1200 тнг,"БЦ Премьер Алатау, проспект Достык, 105"
Аист,семейный ресторан,Средний чек 5000 тнг,"проспект Абая, 58а"
CHICKEN STAR space,арт-кафе,Средний чек 3000 тнг,"Курмангазы, 54"
Gold Қазына,ресторан,Средний чек 5000 тнг,"микрорайон Таугуль, 34/1"
INZHU,ресторан,Средний чек 15000 тнг,"Омаровой, 41/2"
Yasuda Sushi,японский суши-бар,Средний чек 3000 тнг,"ТРЦ DOSTYK PLAZA, микрорайон Самал-2, 111"
Mamma mia & Ciao Pizza,сеть пиццерий,Средний чек 5000 тнг,"10-й микрорайон, 3в"
Жайлау,этно-кафе,Средний чек 2000 тнг,"Ашимова, 243"
Шу-Чу,кафе,Средний чек 3000 тнг,"проспект Рыскулова, 68а/1"
IFTAR2,лагманхана,Средний чек 6000 тнг,"Поль Гурдэ, 28"
All Химик,бар,Средний чек 7000 тнг,"Байзакова, 194"
Дильназ,кафе,Средний чек 2000 тнг,"Затаевича, 31"
KFC,предприятие быстрого обслуживания,Средний чек 1230 тнг,"ТЦ Адем, шоссе Северное Кольцо, 3"
Pinsa By Big Apple,Кафе-кондитерские / Кофейни,Средний чек 2500 тнг,"Гоголя, 87"
Бродвей Бургер,кафе быстрого питания,Средний чек 3000 тнг,"ТЦ Colibri, Валиханова, 170"
Dushes,ресторан,Средний чек 8000 тнг,"ЖК AFD Plaza, проспект Аль-Фараби, 21 блок 1"
Seoul,кафе,Средний чек 3000 тнг,"Сатпаева, 32"
Primavera,ресторан,Средний чек 10000 тнг,"БЦ Коктем, проспект Достык, 180"
SOFRAM,столовая,Средний чек 1400 тнг,"Макатаева, 59"
Degirmen,сеть кафе быстрого питания,Средний чек 1500 тнг,"проспект Абая, 141"
Brass pub,бар,Средний чек 5000 тнг,"Розыбакиева, 95"
Makimaki Almaty,сеть ресторанов быстрого питания,Доставка,"Дулатова, 38а"
Хареба,кафе,Средний чек 5000 тнг,"проспект Абая, 143"
Нур Эль,ресторан,Средний чек 5000 тнг,"Розыбакиева, 33Б"
Mamma Smile,семейное кафе,Средний чек 7000 тнг,"ЖК Наурыз 2, Рахмадиева, 4 к13"
Жемчужное,кафе,Средний чек 4000 тнг,"Ауэзова, 3/1"
Degirmen,сеть кафе быстрого питания,,"проспект Абылай хана, 64"
Degirmen,сеть кафе быстрого питания,,"проспект Абая, 91а"
Мангал,кафе,Средний чек 2500 тнг,"Искендерова, 35Б"
Fabbrica Pizza & Pasta,пиццерия,Средний чек 2000 тнг,"Тимирязева, 75"
Ramadan,халал-кафе,Средний чек 2000 тнг,"микрорайон Аксай 5, 25"
UMAMI,кофейня-джелатерия,Доставка,"Кабанбай батыра, 83"
milà cafe,ресторан авторской кухни,Средний чек 6500 тнг,"Жамбыла, 55/57"
TAGLAURA,кафе,Средний чек 3500 тнг,"Толе би, 297к"
SALAM BRO,сеть кафе и киосков быстрого питания,,"микрорайон Алмагуль, 18а киоск"
Whoopie Cakes,американское кафе-кондитерская,Средний чек 2500 тнг,"ЖК Тан Нуры, микрорайон Мирас, 128"
Айсун,кафе,Средний чек 1000 тнг,"Жангельдина, 150"
Wamboo,ресторан,Средний чек 6000 тнг,"Толе би, 200а"
Halal Bite,кафе быстрого питания,Средний чек 700 тнг,"проспект Жибек Жолы, 111"
Форт Горный,кафе,Средний чек 4000 тнг,"микрорайон Хан-Тенгри, 197"
ДОНЕР-БУРГЕР-КРЫЛЫШКИ,кафе быстрого питания,Шаурма,"Аяз би, 4/1"
DICKENS,ресто-бар,Средний чек 6000 тнг,"проспект Достык, 46"
Casserole,кафе,Средний чек 5000 тнг,"ЖК Жастар, Шевченко, 154"
Шашлычная на Талгарке,кафе,Средний чек 1000 тнг,"Халиуллина, 162а"
nyashka_burger,киоск быстрого питания,Средний чек 1000 тнг,"проспект Абая, 109в/8 киоск"
ПерекуCity,кафе быстрого питания,Средний чек 1000 тнг,"проспект Абылай хана, 74"
НеМята,ресто-бар,Средний чек 5000 тнг,"Маркова, 38а"
Поэзия,кафе,Средний чек 3000 тнг,"микрорайон Мамыр 4, 197Б/1"
Gippo,сеть павильонов и кафе быстрого питания,Средний чек 700 тнг,"Тимирязева, 79 киоск"
Gippo,сеть павильонов и кафе быстрого питания,Средний чек 700 тнг,"проспект Райымбека, 150 киоск"
Govinda`s,вегетарианское кафе,Средний чек 1500 тнг,"проспект Абылай хана, 39"
Gippo,сеть павильонов и кафе быстрого питания,Средний чек 700 тнг,"Толе би, 160/1 киоск"
DATO,кафе,Средний чек 3000 тнг,"Кунаева, 64"
Starbucks,сеть кофеен,,"БЦ BNC Plaza, Тимирязева, 26"
Triumph hall,ресторан,,"Ауэзова, 25"
COCOS RESTOBAR,ресторан,Средний чек 5000 тнг,"ЖК Royal, Кажымукана, 49"
Mamma mia & Ciao Pizza,сеть пиццерий,Средний чек 5000 тнг,"Толе би, 81а"
Vista,средиземноморский ресторан,Средний чек 20000 тнг,"БЦ Esentai Tower, проспект Аль-Фараби, 77/7"
Escobar,лаундж-бар,Средний чек 4000 тнг,"Жарокова, 292"
KOCHeRE,халал-кафе,Средний чек 1500 тнг,"микрорайон Аксай 4, 22а"
Degirmen,сеть кафе быстрого питания,Средний чек 1500 тнг,"Толе би, 142"
Red Dragon Almaty,сеть киосков быстрого питания,,"Толе би, 55/1 киоск"
Be to bee,лаундж-бар,Средний чек 3000 тнг,"БЦ Taurus, Жарокова, 124"
Zheka`s Doner,сеть кафе быстрого питания,Шаурма · Доставка,"микрорайон Жетысу-1, 54/2"
Auz.T,сеть кафе быстрого питания,,"Толе би, 229/2 киоск"
SAMURAI SUSHI,сеть ресторанов,Средний чек 2000 тнг,"ТРЦ SPUTNIK mall, микрорайон Мамыр 1, 8а"
Урімші,лагманхана,Средний чек 1000 тнг,"проспект Гагарина, 206ж"
AliMan,кафе-кулинария,Средний чек 3500 тнг,"Кунаева, 43"
АРГО,кафе,Средний чек 5000 тнг,"Розыбакиева, 105г/1"
KALYAN & STEAK HOUSE,ресторан,Средний чек 7000 тнг,"Макатаева, 56"
Жан Плов Лагман,центр вкусной еды,Средний чек 2500 тнг,"Минина, 2"
River Park,мангал-хаус,Средний чек 8000 тнг,"Бухтарминская, 1/7"
Dinastia,ресторан,Средний чек 4500 тнг,"бульвар Бухар Жырау, 20/2"
Mamma mia & Ciao Pizza,сеть пиццерий,Средний чек 5000 тнг,"ТЦ ESENTAI MALL, проспект Аль-Фараби, 77/8"
"Burger King, сеть кафе быстрого питания",Автоэкспресс,,"Сағадат Нұрмағамбетов, 520"
Jersey Pub,ресторан,Средний чек 6000 тнг,"ЖК Esentai City, проспект Аль-Фараби, 116/21"
Шмель,таверна,Средний чек 3000 тнг,"Жандарбекова, 152"
БОЧОНОК,сеть пивных ресторанов,Средний чек 6000 тнг,"Орбита 3-й микрорайон, 3"
Shahristan,кафе,Средний чек 3000 тнг,"Розыбакиева, 133"
Крем Брюле gelato,кафе-мороженное,Средний чек 3000 тнг,"ТЦ Colibri, Валиханова, 170"
Bahandi burger,сеть кафе быстрого питания,,"Жандосова, 162а киоск"
Bahandi burger,сеть кафе быстрого питания,Доставка,"проспект Абая, 190в/5 киоск"
ВьетКафе,ресторан вьетнамской кухни,Средний чек 5000 тнг,"ТРЦ Mega Center Alma-Ata, Розыбакиева, 263"
DOLCETTO,лаундж-кафе,Средний чек 5000 тнг,"Кунаева, 114"
Qarlygash,городское кафе,Средний чек 3500 тнг,"проспект Назарбаева, 145"
Halal,гостиничный комплекс,Средний чек 1000 тнг,"Палладина, 206"
Degirmen,сеть кафе быстрого питания,Средний чек 1000 тнг,"4-й микрорайон, 4г"
Lanzhou,сеть ресторанов быстрого питания,Средний чек 1000 тнг,"ТРЦ Mega Center Alma-Ata, Розыбакиева, 247а"
Starbucks,сеть кофеен,Средний чек 2500 тнг,"ТРЦ PROMENADE, проспект Абая, 44а"
Boohouse,кафе-бар,Средний чек 5000 тнг,"проспект Сейфуллина, 402"
RH lounge,лаундж-бар,Средний чек 4500 тнг,"Жамбыла, 154"
Zheka`s Doner,сеть кафе быстрого питания,Шаурма,"проспект Райымбека, 239г/3"
Papa John`s,сеть пиццерий,Доставка,"Тимирязева, 38/1"
Сафар,кафе,Средний чек 1500 тнг,"проспект Абая, 52/2"
Кренделия,кофейня-кондитерская,Средний чек 1700 тнг,"проспект Жибек Жолы, 68"
Shafran,кафе,Средний чек 2500 тнг,"Акан Серы, 86"
UNITED BRGRS,ресторан быстрого питания,Средний чек 1500 тнг,"Маркова, 53"
SUSHI MASTER,сеть суши-баров,,"Жарокова, 289а"
Восточный двор,ресторан,Средний чек 3000 тнг,"микрорайон Баянауыл, 35"
Costa Coffee,сеть кофеен,Средний чек 1800 тнг,"МФК VILLA, проспект Аль-Фараби, 140а/3"
Жиробас,бар,Средний чек 5000 тнг,"проспект Назарбаева, 220/3"
GLORIA JEAN`S COFFEES,сеть кофеен,,"Гоголя, 56"
"Zheka`s Doner, сеть кафе быстрого питания",Экспресс-кафе,Шаурма,"Толе би, 285/1 киоск"
MADAMIN,халал кафе-магазин,Средний чек 1400 тнг,"GAGARIN PARK, проспект Гагарина, 287/2"
Margo,лаундж-бар,Средний чек 2500 тнг,"Толе би, 214а"
Bahandi burger,сеть кафе быстрого питания,,"Толе би, 229/2 киоск"
Solo Cat Cafe,кофейня с кошками,,"Казыбек би, 85"
Bahandi burger,сеть кафе быстрого питания,,"Жансугурова, 258 киоск"
Той Дәмі,сеть кулинарий,Доставка,"Маркова, 38"
Четверг,кафе,,"Утеген батыра, 126"
Честный паб,Бары,Средний чек 3000 тнг,"Толе би, 216в"
SALAM BRO,сеть кафе и киосков быстрого питания,Доставка,"ТРК GRAND PARK, Кабдолова, 1"
Рубин,кафе,Средний чек 2000 тнг,"проспект Сейфуллина, 130"
Alazany,ресторан,Средний чек 3000 тнг,"Акан Серы, 20/5"
TeikaBoom,детский развлекательный центр,Средний чек 3000 тнг,"ТРЦ Mega Center Alma-Ata, Розыбакиева, 247а"
Чито Грито,ресторан,Средний чек 3500 тнг,"проспект Сейфуллина, 153"
Золотая Овечка,кафе,Средний чек 2500 тнг,"Богенбай батыра, 62/2"
HI Shanghai,ресторан быстрого питания,Средний чек 2000 тнг,"ТРК Forum, проспект Сейфуллина, 617"
Шалқар,кафе,Средний чек 3000 тнг,"Жамбыла, 231"
LAPASIZHU,лаундж-бар,Средний чек 4000 тнг,"проспект Сейфуллина, 520"
Hawker Chan,кафе быстрого питания,Средний чек 1020 тнг,"ТРЦ DOSTYK PLAZA, микрорайон Самал-2, 111"
CTR Chicken Almaty,сеть кафе быстрого питания,Средний чек 1500 тнг,"Панфилова, 111"
Degirmen,сеть кафе быстрого питания,Средний чек 1500 тнг,"проспект Гагарина, 137/1"
Береке,ресторанный комплекс,Средний чек 10000 тнг,"микрорайон Аксай 5, 23"
Bahandi burger,сеть кафе быстрого питания,,"микрорайон Аксай 4, 22а/3 киоск"
Lanzhou,сеть ресторанов быстрого питания,Средний чек 1000 тнг,"шоссе Северное Кольцо, 32Б"
China ROOM,китайский ресторан,Средний чек 5000 тнг,"Гостиница Grand hotel Tien-Shan, Богенбай батыра, 115"
Starbucks,сеть кофеен,,"ФК World Class, Наурызбай батыра, 89"
Асель,ресторан,Средний чек 5000 тнг,"Вахтангова, 1Б"
Alina,кафе,Средний чек 4500 тнг,"Панфилова, 154"
Hardee`s,сеть ресторанов быстрого питания,Средний чек 2000 тнг,"ТРЦ DOSTYK PLAZA, микрорайон Самал-2, 111"
Weekend Vibes bar,бар,Средний чек 7000 тнг,"Сатпаева, 30а к4"
Орбита,кафе,Средний чек 3000 тнг,"микрорайон Орбита 1, 2а"
Хаят,кафе,Средний чек 1200 тнг,"9-й микрорайон, 35а"
6inch,кафе быстрого питания,Средний чек 2500 тнг,"Толе би, 75"
Degirmen,сеть кафе быстрого питания,Средний чек 1500 тнг,"микрорайон Самал-1, 9Б"
Just Shawarma,кафе быстрого питания,Шаурма,"проспект Абая, 63"
Пинта,сеть пивных ресторанов,Средний чек 5000 тнг,"ТРК MEGA Park, Макатаева, 127/1"
Bahandi burger,сеть кафе быстрого питания,,"Оренбургская, 2"
"Burger King, сеть кафе быстрого питания",Автоэкспресс,Средний чек 1700 тнг,"Саина, 16"
